pos	value	group	Pos	total	base	proportion	pos_from_5end	sample
67	9124	C.T	67	874055	C	0.0104387023699882	67	PL0001_mapped_At_q20.sorted.mapDamage
68	8788	C.T	68	829990	C	0.0105880793744503	68	PL0001_mapped_At_q20.sorted.mapDamage
69	8289	C.T	69	778288	C	0.0106502991180643	69	PL0001_mapped_At_q20.sorted.mapDamage
70	8083	C.T	70	744546	C	0.0108562802029693	70	PL0001_mapped_At_q20.sorted.mapDamage
1	41784	C.T	1	4530601	C	0.00922261748496502	1	PL0026_mapped_At_q20.sorted.mapDamage
2	31976	C.T	2	4243438	C	0.00753539936249805	2	PL0026_mapped_At_q20.sorted.mapDamage
3	24126	C.T	3	4287870	C	0.00562656983537281	3	PL0026_mapped_At_q20.sorted.mapDamage
4	22100	C.T	4	4367501	C	0.00506010187519133	4	PL0026_mapped_At_q20.sorted.mapDamage
5	20642	C.T	5	4301381	C	0.00479892388049327	5	PL0026_mapped_At_q20.sorted.mapDamage
6	20400	C.T	6	3984462	C	0.00511988820573518	6	PL0026_mapped_At_q20.sorted.mapDamage
7	20036	C.T	7	4162105	C	0.00481391026896246	7	PL0026_mapped_At_q20.sorted.mapDamage
8	20038	C.T	8	4027591	C	0.00497518243535652	8	PL0026_mapped_At_q20.sorted.mapDamage
9	19345	C.T	9	3975523	C	0.00486602643224552	9	PL0026_mapped_At_q20.sorted.mapDamage
10	19119	C.T	10	4072586	C	0.00469456016398426	10	PL0026_mapped_At_q20.sorted.mapDamage
11	19438	C.T	11	4080874	C	0.00476319533511694	11	PL0026_mapped_At_q20.sorted.mapDamage
12	18771	C.T	12	4030159	C	0.00465763261449486	12	PL0026_mapped_At_q20.sorted.mapDamage
