Iteration	Plus_Modern	Minus_Modern	Binomial_p	Fisher_p
637	6	2	0.2890625	0.131934731934732
638	7	1	0.0703125	0.0405594405594406
639	5	3	0.7265625	0.314685314685315
640	8	0	0.0078125	0.00699300699300699
641	6	2	0.2890625	0.131934731934732
642	7	1	0.0703125	0.0405594405594406
643	7	1	0.0703125	0.0405594405594406
644	7	1	0.0703125	0.0405594405594406
645	7	1	0.0703125	0.0405594405594406
646	7	1	0.0703125	0.0405594405594406
647	6	2	0.2890625	0.131934731934732
648	7	1	0.0703125	0.0405594405594406
649	5	3	0.7265625	0.314685314685315
650	4	4	1	0.608391608391609
651	7	1	0.0703125	0.0405594405594406
652	8	0	0.0078125	0.00699300699300699
653	6	2	0.2890625	0.131934731934732
654	6	2	0.2890625	0.131934731934732
655	7	1	0.0703125	0.0405594405594406
656	8	0	0.0078125	0.00699300699300699
657	7	1	0.0703125	0.0405594405594406
658	5	3	0.7265625	0.314685314685315
659	6	2	0.2890625	0.131934731934732
660	6	2	0.2890625	0.131934731934732
661	6	2	0.2890625	0.131934731934732
662	6	2	0.2890625	0.131934731934732
663	8	0	0.0078125	0.00699300699300699
664	7	1	0.0703125	0.0405594405594406
665	5	3	0.7265625	0.314685314685315
666	4	4	1	0.608391608391609
667	6	2	0.2890625	0.131934731934732
668	6	2	0.2890625	0.131934731934732
669	8	0	0.0078125	0.00699300699300699
670	4	4	1	0.608391608391609
671	6	2	0.2890625	0.131934731934732
672	6	2	0.2890625	0.131934731934732
