Run	Plus_Modern	Minus_Modern	Binomial_p
409	7	1	0.0703125
410	8	0	0.0078125
411	8	0	0.0078125
412	7	1	0.0703125
413	7	1	0.0703125
414	6	2	0.2890625
415	7	1	0.0703125
416	7	1	0.0703125
417	7	1	0.0703125
418	6	2	0.2890625
419	7	1	0.0703125
420	5	3	0.7265625
421	5	3	0.7265625
422	7	1	0.0703125
423	7	1	0.0703125
424	5	3	0.7265625
425	8	0	0.0078125
426	8	0	0.0078125
427	5	3	0.7265625
428	7	1	0.0703125
429	6	2	0.2890625
430	5	3	0.7265625
431	6	2	0.2890625
432	7	1	0.0703125
433	5	3	0.7265625
434	6	2	0.2890625
435	8	0	0.0078125
436	7	1	0.0703125
437	6	2	0.2890625
438	7	1	0.0703125
439	7	1	0.0703125
440	8	0	0.0078125
441	7	1	0.0703125
442	7	1	0.0703125
443	6	2	0.2890625
444	8	0	0.0078125
445	8	0	0.0078125
446	7	1	0.0703125
447	8	0	0.0078125
448	6	2	0.2890625
449	6	2	0.2890625
450	7	1	0.0703125
451	6	2	0.2890625
452	4	4	1
453	7	1	0.0703125
454	7	1	0.0703125
455	7	1	0.0703125
456	7	1	0.0703125
457	6	2	0.2890625
458	7	1	0.0703125
459	7	1	0.0703125
460	7	1	0.0703125
461	6	2	0.2890625
462	7	1	0.0703125
463	7	1	0.0703125
464	7	1	0.0703125
465	7	1	0.0703125
466	7	1	0.0703125
467	7	1	0.0703125
468	6	2	0.2890625
469	8	0	0.0078125
470	6	2	0.2890625
471	7	1	0.0703125
472	7	1	0.0703125
473	8	0	0.0078125
474	4	4	1
475	8	0	0.0078125
476	7	1	0.0703125
477	8	0	0.0078125
478	8	0	0.0078125
479	7	1	0.0703125
480	7	1	0.0703125
481	5	3	0.7265625
482	8	0	0.0078125
483	7	1	0.0703125
484	5	3	0.7265625
485	7	1	0.0703125
486	7	1	0.0703125
487	8	0	0.0078125
488	5	3	0.7265625
489	7	1	0.0703125
490	6	2	0.2890625
491	7	1	0.0703125
492	7	1	0.0703125
493	7	1	0.0703125
494	7	1	0.0703125
495	7	1	0.0703125
496	8	0	0.0078125
497	8	0	0.0078125
498	7	1	0.0703125
499	6	2	0.2890625
500	6	2	0.2890625
501	6	2	0.2890625
502	7	1	0.0703125
503	6	2	0.2890625
504	5	3	0.7265625
505	8	0	0.0078125
506	6	2	0.2890625
507	7	1	0.0703125
508	7	1	0.0703125
509	7	1	0.0703125
510	6	2	0.2890625
511	6	2	0.2890625
512	8	0	0.0078125
513	8	0	0.0078125
514	7	1	0.0703125
515	8	0	0.0078125
516	5	3	0.7265625
517	8	0	0.0078125
518	6	2	0.2890625
519	6	2	0.2890625
520	6	2	0.2890625
521	6	2	0.2890625
522	7	1	0.0703125
523	6	2	0.2890625
524	7	1	0.0703125
525	8	0	0.0078125
526	8	0	0.0078125
527	8	0	0.0078125
528	7	1	0.0703125
529	6	2	0.2890625
530	7	1	0.0703125
531	7	1	0.0703125
532	7	1	0.0703125
533	5	3	0.7265625
534	6	2	0.2890625
535	6	2	0.2890625
536	6	2	0.2890625
537	6	2	0.2890625
538	7	1	0.0703125
539	7	1	0.0703125
540	6	2	0.2890625
541	6	2	0.2890625
542	8	0	0.0078125
543	5	3	0.7265625
544	8	0	0.0078125
545	8	0	0.0078125
546	7	1	0.0703125
547	8	0	0.0078125
548	8	0	0.0078125
549	7	1	0.0703125
550	7	1	0.0703125
551	6	2	0.2890625
552	6	2	0.2890625
553	7	1	0.0703125
554	4	4	1
555	7	1	0.0703125
556	8	0	0.0078125
557	5	3	0.7265625
558	8	0	0.0078125
559	5	3	0.7265625
560	7	1	0.0703125
561	8	0	0.0078125
562	7	1	0.0703125
563	7	1	0.0703125
564	6	2	0.2890625
565	6	2	0.2890625
566	6	2	0.2890625
567	5	3	0.7265625
568	7	1	0.0703125
569	8	0	0.0078125
570	7	1	0.0703125
571	7	1	0.0703125
572	8	0	0.0078125
573	7	1	0.0703125
574	7	1	0.0703125
575	7	1	0.0703125
576	6	2	0.2890625
577	6	2	0.2890625
578	8	0	0.0078125
579	6	2	0.2890625
580	7	1	0.0703125
581	6	2	0.2890625
582	5	3	0.7265625
583	7	1	0.0703125
584	6	2	0.2890625
585	6	2	0.2890625
586	6	2	0.2890625
587	7	1	0.0703125
588	6	2	0.2890625
589	7	1	0.0703125
590	5	3	0.7265625
591	6	2	0.2890625
592	8	0	0.0078125
593	6	2	0.2890625
594	8	0	0.0078125
595	7	1	0.0703125
596	5	3	0.7265625
597	7	1	0.0703125
598	7	1	0.0703125
599	7	1	0.0703125
600	6	2	0.2890625
601	7	1	0.0703125
602	8	0	0.0078125
603	7	1	0.0703125
604	8	0	0.0078125
605	8	0	0.0078125
606	7	1	0.0703125
607	6	2	0.2890625
608	6	2	0.2890625
609	6	2	0.2890625
610	5	3	0.7265625
611	6	2	0.2890625
612	6	2	0.2890625
613	7	1	0.0703125
614	8	0	0.0078125
615	7	1	0.0703125
616	7	1	0.0703125
617	5	3	0.7265625
618	6	2	0.2890625
619	7	1	0.0703125
620	8	0	0.0078125
621	6	2	0.2890625
622	7	1	0.0703125
623	6	2	0.2890625
624	8	0	0.0078125
625	7	1	0.0703125
626	8	0	0.0078125
627	7	1	0.0703125
628	8	0	0.0078125
629	6	2	0.2890625
630	8	0	0.0078125
631	6	2	0.2890625
632	7	1	0.0703125
633	7	1	0.0703125
634	7	1	0.0703125
635	8	0	0.0078125
636	6	2	0.2890625
637	8	0	0.0078125
638	7	1	0.0703125
639	7	1	0.0703125
640	6	2	0.2890625
641	7	1	0.0703125
642	6	2	0.2890625
643	8	0	0.0078125
644	6	2	0.2890625
645	5	3	0.7265625
646	5	3	0.7265625
647	8	0	0.0078125
648	7	1	0.0703125
649	6	2	0.2890625
650	6	2	0.2890625
